repo,pr,url,username,date,total
cucumber-jvm,585,https://github.com/cucumber/cucumber-jvm/pull/585,suleymanDervis,2013-09-09,378
cucumber-jvm,587,https://github.com/cucumber/cucumber-jvm/pull/587,ruifigueira,2013-09-12,379
cucumber-jvm,588,https://github.com/cucumber/cucumber-jvm/pull/588,BertRobbenSony,2013-09-12,380
cucumber-ruby-core,24,https://github.com/cucumber/cucumber-ruby-core/pull/24,tom025,2013-09-12,381
cucumber-ruby,535,https://github.com/cucumber/cucumber-ruby/pull/535,jimvm,2013-09-16,382
cucumber-jvm,590,https://github.com/cucumber/cucumber-jvm/pull/590,martinlau,2013-09-18,383
cucumber-jvm,592,https://github.com/cucumber/cucumber-jvm/pull/592,friederbluemle,2013-09-18,384
cucumber-jvm,594,https://github.com/cucumber/cucumber-jvm/pull/594,arikogan,2013-09-19,385
cucumber-ruby,539,https://github.com/cucumber/cucumber-ruby/pull/539,devsuds,2013-09-20,386
cucumber-ruby,548,https://github.com/cucumber/cucumber-ruby/pull/548,bilus,2013-09-24,387
cucumber-jvm,598,https://github.com/cucumber/cucumber-jvm/pull/598,SierraGolf,2013-09-28,388
cucumber-ruby,559,https://github.com/cucumber/cucumber-ruby/pull/559,erran,2013-10-04,389
cucumber-jvm,601,https://github.com/cucumber/cucumber-jvm/pull/601,VivaceVivo,2013-10-04,390
cucumber-jvm,602,https://github.com/cucumber/cucumber-jvm/pull/602,lggroapa,2013-10-08,391
cucumber-ruby,568,https://github.com/cucumber/cucumber-ruby/pull/568,d-led,2013-10-10,392
cucumber-jvm,606,https://github.com/cucumber/cucumber-jvm/pull/606,davebassan,2013-10-15,393
cucumber-js,138,https://github.com/cucumber/cucumber-js/pull/138,splattael,2013-10-16,394
cucumber-jvm,609,https://github.com/cucumber/cucumber-jvm/pull/609,FibreFoX,2013-10-18,395
cucumber-jvm,611,https://github.com/cucumber/cucumber-jvm/pull/611,fluxtah,2013-10-18,396
cucumber-ruby,575,https://github.com/cucumber/cucumber-ruby/pull/575,gspilio,2013-10-18,397
cucumber-jvm,614,https://github.com/cucumber/cucumber-jvm/pull/614,waffleio,2013-10-21,398
cucumber-ruby-core,34,https://github.com/cucumber/cucumber-ruby-core/pull/34,orend,2013-10-21,399
cucumber-js,140,https://github.com/cucumber/cucumber-js/pull/140,wkf,2013-10-24,400
cucumber-ruby,576,https://github.com/cucumber/cucumber-ruby/pull/576,simsalabim,2013-10-25,401
cucumber-rails,268,https://github.com/cucumber/cucumber-rails/pull/268,erkde,2013-10-26,402
cucumber-ruby,579,https://github.com/cucumber/cucumber-ruby/pull/579,jeffnyman,2013-10-27,403
cucumber-js,141,https://github.com/cucumber/cucumber-js/pull/141,sebs,2013-10-30,404
cucumber-ruby,581,https://github.com/cucumber/cucumber-ruby/pull/581,jshraibman-mdsol,2013-11-05,405
cucumber-jvm,622,https://github.com/cucumber/cucumber-jvm/pull/622,martykube,2013-11-05,406
cucumber-cpp,65,https://github.com/cucumber/cucumber-cpp/pull/65,larryprice,2013-11-07,407
cucumber-ruby,588,https://github.com/cucumber/cucumber-ruby/pull/588,yeongsheng-tan,2013-11-07,408
cucumber-ruby,592,https://github.com/cucumber/cucumber-ruby/pull/592,timcowlishaw,2013-11-09,409
cucumber-jvm,628,https://github.com/cucumber/cucumber-jvm/pull/628,slowikps,2013-11-09,410
cucumber-ruby,598,https://github.com/cucumber/cucumber-ruby/pull/598,jmcaffee,2013-11-15,411
cucumber-jvm,634,https://github.com/cucumber/cucumber-jvm/pull/634,coekie,2013-11-19,412
cucumber-jvm,635,https://github.com/cucumber/cucumber-jvm/pull/635,rlogiacco,2013-11-22,413
cucumber-ruby,605,https://github.com/cucumber/cucumber-ruby/pull/605,jasnow,2013-11-23,414
cucumber-ruby-core,38,https://github.com/cucumber/cucumber-ruby-core/pull/38,benjis,2013-11-26,415
cucumber-js,143,https://github.com/cucumber/cucumber-js/pull/143,vectart,2013-11-29,416
